log,template
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
